date,new,log,income
2015/3/1,92797.9,380878.2857,767.9
2015/3/2,70943.6,313196,603.2
2015/3/3,67997.8,306828.5714,562
2015/3/4,67720.9,308931.2857,575
2015/3/5,83540.6,341760.2857,647.4
2015/3/6,88452,360357.2857,765.5
2015/3/7,110210.1,418072.5714,827.9
2015/3/8,91764.4,400411,657.5
2015/3/9,49537.8,274098.5714,460
2015/3/10,47091.2,269072.4286,497.4
2015/3/11,48380.8,266326.2857,476.4
2015/3/12,52032.5,270016.2857,472.5
2015/3/13,69620.2,341591.5714,675.4
2015/3/14,167687,486151.2857,713.2
2015/3/15,105699.1,433422.4286,567.2
2015/3/16,46170.8,267230.2857,409.9
2015/3/17,46091.5,262472,468.1
2015/3/18,44330,250326,737.8
2015/3/19,48397.7,264976.4286,508.2
2015/3/20,68642.6,333127.4286,670
2015/3/21,137794.8,490826,973.3
2015/3/22,102438.7,445051.1429,649.3
2015/3/23,51220,312780,406.4
2015/3/24,68642.6,306540.8571,374.9
2015/3/25,42521.7,272793,375
2015/3/26,45932.9,273958.8571,362.7
2015/3/27,66770.6,340974.1429,493.5
2015/3/28,125148.4,439713.5714,550.5
2015/3/29,101305.1,424699.2857,445.9
2015/3/30,46645.3,271295.2857,317
2015/3/31,52111.8,276716.1429,338.4
2015/4/1,44015.4,269039.5714,364.2
2015/4/2,47716.5,274124.7143,340.5
2015/4/3,70701.8,349358.4286,642.9
2015/4/4,119848.3,436942.8571,822.4
2015/4/5,102982.1,437980,644.9
2015/4/6,90194,408461.8571,538
2015/4/7,49125.7,272527.8571,407.3
2015/4/8,51613.9,268349,399.4
2015/4/9,59884.5,265733.4286,390.7
2015/4/10,75930.4,324451.8571,538.7
2015/4/11,122826.6,416158.1429,601.9
2015/4/12,112902.4,402527.7143,509.2
2015/4/13,45857.5,259781.5714,298.2
2015/4/14,46715.5,254923.8571,292.6
2015/4/15,53509.3,262519.1429,353.6
2015/4/16,69178.2,279596.8571,366.7
2015/4/17,75830.3,327845.2857,457.2
2015/4/18,136471.4,421785.2857,488.4
2015/4/19,106350.4,402127.8571,402.7
2015/4/20,57986.5,265410.7143,304.5
2015/4/21,54212.6,262580.1429,294.9
2015/4/22,48132.5,263661.5714,452.5
2015/4/23,48007.7,269531.4286,322.1
2015/4/24,65783.9,321192.2857,1215.4
2015/4/25,124387.9,410721.4286,1291.6
2015/4/26,103134.2,396651,938.2
2015/4/27,47697,267492.1429,650.4
2015/4/28,54848.3,269865.1429,617.1
2015/4/29,59559.5,277134,631.8
2015/4/30,83259.8,362277,1017.4
2015/5/1,134091.1,455590,1096.4
2015/5/2,113538.1,411921.1429,849.8
2015/5/3,98116.2,392538.8571,861.3
2015/5/4,58940.7,272410.2857,775.7
2015/5/5,60699.6,281528.8571,930.6
2015/5/6,78247,303707.4286,685
2015/5/7,98911.8,341670.4286,576.7
2015/5/8,124394.4,409035.2857,648.3
2015/5/9,201045,512810.2857,709.8
2015/5/10,155805,507668.4286,611.2
2015/5/11,73030.1,376545.1429,446.5
2015/5/12,68809,360287.8571,424
2015/5/13,62796.5,310555.5714,375
2015/5/14,69756.7,307540.2857,367.6
2015/5/15,105804.4,374682.4286,587
2015/5/16,170163.5,472582.1429,666.1
2015/5/17,127179,454980.2857,516.1
2015/5/18,55127.8,293985.8571,370.3
2015/5/19,48570.6,282101.1429,359.9
2015/5/20,46491.9,271073.5714,385.5
2015/5/21,52522.6,278461.8571,366.4
2015/5/22,64742.6,331294.2857,438
2015/5/23,117556.4,425324.1429,478.4
2015/5/24,93442.7,408475.8571,394.1
2015/5/25,40345.5,264602.1429,294.8
2015/5/26,42575,263021.1429,292.8
2015/5/27,49181.6,267842.7143,294.2
2015/5/28,43799.6,262294.1429,312.6
2015/5/29,63378.9,324954.2857,436.6
2015/5/30,113912.5,407881.1429,521.6
2015/5/31,93835.3,389798.8571,482.5
2015/6/1,56551.3,289090.5714,392.4
2015/6/2,40818.7,256857.8571,336.3
2015/6/3,42809,254715,719.5
2015/6/4,43296.5,264522.4286,490.2
2015/6/5,56875,318327.5714,586.7
2015/6/6,101860.2,394052.1429,629.1
2015/6/7,85411.3,380397.7143,520.5
2015/6/8,49641.8,291678.5714,399.4
2015/6/9,57020.6,292070,378.6
2015/6/10,42369.6,309374.8571,388.5
2015/6/11,48145.5,307678.4286,387.9
2015/6/12,57345.6,345845.1429,454.8
2015/6/13,98866.3,417299.5714,499.7
2015/6/14,87007.7,409827,441.6
2015/6/15,50241.1,297868.8571,410
2015/6/16,53011.4,297570.7143,428.3
2015/6/17,53597.7,294230.1429,415.5
2015/6/18,66359.8,311134.2857,424.3
2015/6/19,69875,353384.8571,718
2015/6/20,111416.5,419201,895.9
2015/6/21,92301.3,382510.5714,653.1
2015/6/22,78479.7,362730.8571,563.9
2015/6/23,52185.9,282727.4286,469.5
2015/6/24,64490.4,292388.1429,437.1
2015/6/25,61114.3,291970.7143,432.8
2015/6/26,66600.3,318893.1429,495.3
2015/6/27,89628.5,361866.1429,511.2
2015/6/28,81312.4,351960.1429,466.2
2015/6/29,62019.1,294676,424.2
2015/6/30,66765.4,303002,481